Event_ID,Observation_date,Processed_date,Year,Month,Location_type,Handling_days,Title,Observation
26,2024-07-05,2024-07-08,2024,7,Outdoor area,3,Missing safety data sheet for chemical,The safety data sheet for a new chemical could not be found at the workstation.
27,2024-07-12,2024-07-15,2024,7,Office space,3,Condensation water dripping on floor,A ventilation duct in the corridor ceiling was dripping condensation water onto the floor.
28,2024-07-19,2024-07-22,2024,7,Production facility,3,Silencer detached from pneumatic device,"The silencer had come off a compressed-air device, causing loud noise."
29,2024-07-26,2024-07-29,2024,7,Production facility,3,Pharmaceutical dust left in weighing room,Pharmaceutical dust remained on surfaces in the weighing room after cleaning.
30,2024-08-02,2024-08-05,2024,8,Office space,3,Poor lighting at back of warehouse,Lighting at the back of the warehouse was so poor that it was difficult to read product labels.
31,2024-08-09,2024-08-12,2024,8,Production facility,3,Trash on stairs to break room,There was trash and empty coffee cups on the stairs to the break room.
32,2024-08-16,2024-08-19,2024,8,Office space,3,Heavy box at edge of high shelf,A heavy box was positioned dangerously close to the edge of a high storage shelf.
33,2024-08-23,2024-08-26,2024,8,Office space,3,Door slamming shut,"The door to the production area was slamming shut forcefully, creating a risk of fingers getting trapped."
34,2024-08-30,2024-09-02,2024,8,Other / Unknown,3,Open floor hatch without warnings,"A floor hatch had been left open for maintenance work, but there were no proper warning signs around it."
35,2024-09-06,2024-09-09,2024,9,Other / Unknown,3,Cable across walkway,"A charging cable had been run across an office corridor, creating a tripping hazard."
36,2024-09-13,2024-09-16,2024,9,Outdoor area,3,Torn protective gloves,An employee was wearing torn protective gloves while handling a corrosive substance.
37,2024-09-20,2024-09-23,2024,9,Office space,3,Loose stair railing,The handrail on the main entrance stairs was loose and gave way when leaned on.
38,2024-09-27,2024-09-30,2024,9,Office space,3,Crane safety limit not working,"The upper limit sensor of the production overhead crane was not functioning, creating a collision hazard."
39,2024-10-04,2024-10-07,2024,10,Production facility,3,Glass shards on floor,A decanter glass had fallen in the laboratory and shards had spread over a wide area.
40,2024-10-11,2024-10-14,2024,10,Production facility,3,Handwashing station out of soap,The soap dispenser at the handwashing station before entering the cleanroom was empty.
41,2024-10-18,2024-10-21,2024,10,Office space,3,Slippery outdoor steps in rain,"The factory's outdoor steps were extremely slippery in the rain, with no anti-slip surface."
42,2024-10-25,2024-10-28,2024,10,Production facility,3,Emergency exit locked,One of the emergency exits was locked from the inside with a key.
43,2024-11-01,2024-11-04,2024,11,Office space,3,Falling objects from shelf,Vibration caused small items to fall from a shelf near the production line.
44,2024-11-08,2024-11-11,2024,11,Other / Unknown,3,Wet cloth on stairs,"A cleaner had left a wet cloth to dry on the stair railing, from where it had fallen onto a step."
45,2024-11-15,2024-11-18,2024,11,Office space,3,Poor ergonomics in packing area,"The workbench on the packaging line was too low, forcing workers into a hunched working posture."
46,2024-11-22,2024-11-25,2024,11,Production facility,3,Warning sign missing,No warning sign was placed to indicate the wet floor after cleaning.
47,2024-11-29,2024-12-02,2024,11,Office space,3,Broken stair step,"One of the concrete stair steps had chipped, leaving a sharp edge and a hole."
48,2024-12-06,2024-12-09,2024,12,Production facility,3,Noisy machine,"One of the production line machines was emitting an unusually loud, shrill noise."
49,2024-12-13,2024-12-16,2024,12,Production facility,3,Icicles on roof edge,"Large icicles were hanging above the main entrance, posing a falling hazard."
50,2024-12-20,2024-12-23,2024,12,Office space,3,Employee using phone on stairs,"An employee was walking down the stairs while looking at their phone screen, with reduced attention."
